4294966078,4294967295,438827,4294967295,4088949
4294967224,6,6031083,6,296966974
4294965201,4294967292,1931214,4294967288,11969071
4294966822,4294967100,1288961,4294841034,10402426
4294967295,3,21431469,2,967071399
4294964181,383,151655,4,3785186
4294967295,4294967295,44951089,4294967120,384278331
4294966918,4294890751,280573,4294890751,20157872
4294967194,726,104328,255,58429631
4294967295,4294956366,173948,4294956366,11711915
4294966824,4294967295,1310467,4294965315,12675073
4294967145,4294958346,218750,2,54424582
4294966677,4294966488,2596714,4294804192,8038213
4294967295,17836,44283,14471,6827612
4294967284,1541442,2298438,1541442,315477684
4294967161,4197208105,9861,3632361763,10677586
4294966300,216095,1246839,131072,11521203
4294967276,4294930596,139673,4294930594,18884066
4294967295,4294967295,8368925,4294940764,386031915
4294967276,4294964616,1019956,4294964616,108950073
4294967282,4294966626,2828242,10276,486616755
4294964561,3874280196,2180269,3874280196,21086023
4294844000,4294966978,206989,4294966978,19990785
4294967295,4294967295,8506946,4294954236,401109595
4294967295,4294967295,25305239,4294967120,402815388
4294967147,3757434726,1746318,3509575347,11271489
4294967272,4291356170,19403,4291356170,8165245
4294967018,4294966204,1921699,4294964749,55490976
