of ,    3.95662e+06,              2,       0.330659
of ,    2.18956e+07,        29.7945,        13.1994
of ,    3.26661e+07,        31.6097,        7.79682
of ,    1.82953e+07,        29.9262,       0.116987
of ,    2.96928e+07,        29.6098,         1.1751
of ,    5.46437e+06,        30.7814,       0.319166
of ,    5.93368e+06,              3,      0.0420537
of ,    8.18045e+07,        31.4836,        9.49796
of ,         855432,        24.0573,       0.677805
of ,    2.48197e+07,        28.6305,       0.580851
of ,    1.09709e+07,             31,        9.45231
of ,    1.53465e+07,             31,       0.732146
of ,    4.00441e+07,        31.5795,       0.590851
of ,    4.77734e+06,        31.7363,        7.21346
of ,    5.16931e+06,        31.7896,         7.7777
of ,    1.94466e+07,        31.9972,        21.4951
of ,    2.93758e+07,        23.2343,       0.302515
of ,    7.28956e+06,        29.8541,       0.653626
of ,    5.41471e+07,        8.45943,      0.0708802
of ,    3.09811e+07,        31.9836,        13.3188
of ,    3.02574e+06,        31.0014,       0.662264
of ,    4.46434e+06,        20.9967,       0.546779
of ,    4.90588e+06,        2.58496,       0.434238
of ,    7.33475e+06,        31.9972,        7.93886
of ,    4.11459e+06,        31.7181,        8.06235
of ,         646217,        31.0014,        1.41444
of ,    4.24434e+07,        31.4926,        3.99644
of ,         720895,             31,       0.130009
