4294966078,4294967295,442386,4294967295,4122570
4294967161,4197208105,9861,3632361763,10679642
4294967224,6,6121095,6,301425887
4294966824,4294967295,1312018,4294965315,12689909
4294965201,4294967292,1945902,4294967288,12060958
4294966822,4294967100,1291249,4294841034,10420614
4294967295,3,21356835,2,963711590
4294964181,383,151510,4,3781649
4294966918,4294890751,280077,4294890751,20122393
4294967194,726,104626,255,58592217
4294967145,4294958346,218112,2,54255318
4294966677,4294966488,2592050,4294804192,8023393
4294967276,4294964616,1019536,4294964616,108903569
4294967295,17836,44242,14471,6822113
4294967284,1541442,2293456,1541442,314769122
4294966300,216095,1245077,131072,11504331
4294967276,4294930596,139128,4294930594,18810827
4294967295,4294967295,8329271,4294940764,384202282
4294967295,4294967295,44947027,4294967120,384244186
4294967282,4294966626,2828022,10276,486583166
4294964561,3874280196,2181950,3874280196,21102240
4294844000,4294966978,207123,4294966978,20004898
4294967295,4294956366,173692,4294956366,11694526
4294967295,4294967295,25349580,4294967120,403521838
4294967147,3757434726,1744783,3509575347,11261683
4294967272,4291356170,19404,4291356170,8165464
4294967295,4294967295,8529596,4294954236,402189167
4294967018,4294966204,1918319,4294964749,55393860
