dd,        1.58496,           1131
dd,        63.9995,          33241
dd,        63.5565,          16672
dd,        5.08746,            711
dd,        61.9076,            715
dd,        38.8699,          10211
dd,        63.9996,          18210
dd,          51.52,            354
dd,        63.9983,          25651
dd,             63,          32224
dd,        63.9994,          33261
dd,        52.7414,            695
dd,        63.9996,          32692
dd,        4.52356,            549
dd,              2,           2088
dd,        63.5555,           8335
dd,        61.9867,            144
dd,             62,          25807
dd,        63.5837,           1004
dd,             63,            558
dd,        19.3774,             94
dd,        38.2351,          18677
dd,              1,            391
dd,        2.32193,           1060
dd,             63,          25822
dd,        55.2286,          13141
dd,        63.9802,          31842
dd,        63.9996,          32691
