dd,        1.58496,           1131
dd,        63.9726,           5531
dd,        63.0603,          16233
dd,        2.32193,            852
dd,        61.9076,            715
dd,        38.8699,          10211
dd,        63.6505,           4461
dd,          51.52,            354
dd,        54.5386,            573
dd,             63,          14123
dd,        63.7134,           5466
dd,        52.7414,            719
dd,        63.5706,          12443
dd,        4.52356,            549
dd,        62.0543,           2788
dd,        63.5802,           9184
dd,        61.9867,            114
dd,        59.9294,            586
dd,        9.80735,            420
dd,        63.9933,           6584
dd,        3.16993,             25
dd,        38.2351,          16670
dd,              1,            322
dd,        2.32193,           1060
dd,        61.9196,            746
dd,        55.2286,             91
dd,        63.5841,           8794
dd,        63.5877,          14732
