pts,repet,avg,se
2,100,39.1743,1.26256
5,100,36.6645,0.910114
14,100,37.2615,0.55104
35,100,36.4945,0.428262
74,100,37.0066,0.285039
157,100,37.1058,0.237677
326,100,36.4484,0.160125
656,100,36.5921,0.106937
1328,100,36.5534,0.0767372
2706,100,36.5632,0.0540115
5464,100,36.694,0.0412777
10944,100,36.6303,0.028918
21945,100,36.6574,0.0198477
