of ,    2.56631e+06,              2,       0.253261
of ,    3.73306e+06,        31.9971,        15.7242
of ,    1.26361e+07,        31.6267,         15.867
of ,         337616,        31.2157,        3.09344
of ,    1.29146e+06,        29.6098,        1.17705
of ,    4.36632e+06,        30.7814,       0.319166
of ,    9.54416e+06,        31.9691,        21.9984
of ,    1.17094e+06,        23.2343,       0.302515
of ,    4.05637e+06,             31,        7.65874
of ,    3.26359e+06,        31.4838,        13.5539
of ,    3.05602e+06,        31.9971,        15.5838
of ,         670897,        24.0573,       0.687151
of ,     2.4182e+06,        31.9972,        15.9947
of ,         516250,        31.0014,        1.41444
of ,    2.29685e+07,        31.4919,        13.1664
of ,    1.06526e+07,        31.4885,        11.9326
of ,    1.58266e+06,             31,        15.2315
of ,    1.10379e+06,             30,        10.2418
of ,     3.5002e+06,        31.0314,        14.4673
of ,     8.5563e+06,        31.4877,        15.8763
of ,     7.2908e+06,        18.9396,        0.49651
of ,    5.15459e+06,        29.8435,       0.498025
of ,    5.19694e+06,        20.9967,       0.550889
of ,    3.66122e+06,        2.58496,       0.448877
of ,    1.14799e+06,             31,        10.6049
of ,    6.57044e+06,             31,        13.7147
of ,    1.27785e+06,        31.6335,        15.3224
of ,    2.77321e+06,        31.9972,        16.0938
