od  ,          40000,             63,         29.993
od  ,         300000,             63,        36.6873
od  ,          30000,              0,              0
od  ,         240000,        63.0605,        21.7792
od  ,         310000,        59.8916,         25.392
od  ,         140000,              0,              0
od  ,         150000,              0,              0
od  ,         260000,        63.9993,         45.001
od  ,         120000,        61.9218,        42.9261
od  ,          50000,             63,        26.4153
od  ,         220000,             63,        25.5969
od  ,         150000,             63,        33.3683
ol  ,         310000,              0,              0
ol  ,         140000,              0,              0
ol  ,         330000,        61.9039,        12.2643
ol  ,         170000,             29,    2.91136e-05
ol  ,         100000,              0,              0
ol  ,         760000,              0,              0
ol  ,         200000,        63.6146,      0.0972021
ol  ,         160000,        62.9961,         13.886
ol  ,          40000,              0,              0
ol  ,          10000,        61.8555,         6.2124
ol  ,         680000,        62.9391,        19.7313
ol  ,         880000,             63,        22.9472
ol  ,          60000,        61.9054,        19.1491
ol  ,         670000,             63,        50.9093
ol  ,         170000,        61.9972,        29.3265
ol  ,         540000,        63.6142,        33.4089
ol  ,         340000,             63,        27.1875
ol  ,         320000,             63,        32.2688
ol  ,         170000,              0,              0
ol  ,        1300000,        63.0531,        19.1538
ol  ,         660000,        62.9555,        25.9652
ol  ,         360000,              0,              0
ol  ,         370000,              0,              0
ol  ,         970000,        63.9993,        41.9459
ol  ,         170000,        61.9054,        37.5876
ol  ,         870000,             63,        22.4609
ol  ,         480000,             63,        24.2524
ol  ,         880000,             63,         29.892
