Herbie 2.0 with seed 2023319
Find help on https://herbie.uwplse.org/, exit with Ctrl-C
Job ff9183e262ec4131462dfb94bb4f8a6d0e473fa5 started:
  improve (FPCore (x y z) :precision binary64 (fabs (- (/ (+ x 4.0) y) (* (/ x y) z))))...
Warning: 20.8% of points produce a very large (infinite) output. You may want to add a precondition.
See <https://herbie.uwplse.org/doc/2.0/faq.html#inf-points> for more.
-3.867068285396749e-250,2.179136330716163e-230,0.0,1.0,0.0,2.179136330716163e-230,2.179136330716163e-230
2.9276005593290064e-251,7.552078928844308e-189,0.0,1.0,0.0,7.552078928844308e-189,7.552078928844308e-189
1.0221097042939293e-141,1.794287387240294e+114,-1.5060206816826035e-268,1.0,0.0,1.794287387240294e+114,1.794287387240294e+114
1.0385669666731927e+272,1.5561557706901323e+28,8.54490531312907e-11,1.0,5.491034685646881e-39,1.5561557706901323e+28,1.5561557706901323e+28
3.99606538048618e-187,1.3628330919946512e-65,3.204126042882833e-45,4.253369167613881e-21,1.0,-3.204126042882833e-45,-3.204126042882833e-45
-1.1866210307058097e+150,-inf.0,-inf.0,+nan.0,+nan.0,+nan.0,-inf.0
5.438128592602278e+110,2.7715365487122214e-102,0.0,1.0,0.0,2.7715365487122214e-102,2.7715365487122214e-102
3.51314038737745e-265,1.5314435832230506e-217,0.0,1.0,0.0,1.5314435832230506e-217,1.5314435832230506e-217
-3.866450212702844e-161,3.0903345474939295e-220,7.406535787826461e-157,4.1724426047778895e-64,1.0,-7.406535787826461e-157,-7.406535787826461e-157
8.62117769324318e-107,2.246842257562654e-138,0.0,1.0,0.0,2.246842257562654e-138,2.246842257562654e-138
-3.0176736562805213e+302,-inf.0,-inf.0,+nan.0,+nan.0,+nan.0,+inf.0
-2.486233173767643e+247,-1.7270652353291073e+164,+inf.0,0.0,+nan.0,-inf.0,-inf.0
5.2587529920319575e+240,+inf.0,-inf.0,+nan.0,+nan.0,+inf.0,+inf.0
1.3211851175988769e+116,1.342796355728307e+158,1.2472149974113944e+208,1.076635831444693e-50,1.0,-1.2472149974113944e+208,-1.2472149974113944e+208
4.4435193050904e+69,1.3480825477305952e+34,3.5475387827327256e+198,3.8000502046439804e-165,1.0,-3.5475387827327256e+198,-3.5475387827327256e+198
2.7413683595837298e-270,5.193143256561008e+253,3.8070029288287834e-161,1.0,0.0,5.193143256561008e+253,5.193143256561008e+253
